PortfolioCode,Currency,TxnId,Type,TransactionDate,SettlementDate,Units,TradeToPortfolioRate,Strategy,CustodianAccount,BalanceSheetAllocation,ShareClassId
TPV_FixedIncomeHedging,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPVFIH
TPV_GlobalEquities,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,150000000,1,Cash,MS,Investments,SC_USD_TPVGE
TPV_GlobalEquities,EUR,CASH_0002,FundsIn,01/12/2023,03/12/2023,50000000,1.2,Cash,MS,Investments,SC_EUR_TPVGE
TPV_GlobalEquities,ZAR,CASH_0003,FundsIn,01/12/2023,03/12/2023,70000000,0.0556,Cash,MS,Investments,SC_USD_TPVGE
TPV_GlobalEquities,USD,CASH_0004,FundsIn,01/12/2023,03/12/2023,20000000,1,Magnificent 7,MS,Investments,SC_USD_TPVGE
TPV_GlobalFixedIncome,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,USD,CASH_0002,FundsIn,01/12/2023,03/12/2023,60000000,1,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,GBP,CASH_0003,FundsIn,01/12/2023,03/12/2023,40500000,1.46,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,EUR,CASH_0004,FundsIn,01/12/2023,03/12/2023,30500000,1.14,Cash,MS,Investments,SC_EUR_TPVGFI
TPV_GlobalFixedIncome,JPY,CASH_0005,FundsIn,01/12/2023,03/12/2023,15000000,0.007,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,DKK,CASH_0006,FundsIn,01/12/2023,03/12/2023,200000000,0.15,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,SEK,CASH_0007,FundsIn,01/12/2023,03/12/2023,10000000,0.1043,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,ARS,CASH_0008,FundsIn,01/12/2023,03/12/2023,70000000,0.0008435,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,THB,CASH_0009,FundsIn,01/12/2023,03/12/2023,60000000,0.0394,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,USD,CASH_0010,FundsIn,03/03/2025,03/03/2025,500000,1,Cash,MS,Investments,SC_USD_TPVGFI
TPV_IlliquidFixedIncome,EUR,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPVIFI
TPV_IlliquidFixedIncome,USD,CASH_0002,FundsIn,01/12/2023,03/12/2023,40000000,1,Cash,MS,Investments,SC_USD_TPVIFI
TPV_IlliquidFixedIncome,GBP,CASH_0003,FundsIn,01/12/2023,03/12/2023,30000000,1.3,Cash,MS,Investments,SC_EUR_TPVIFI
TPV_Infrastructure,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_EUR_TPVI
TPV_Infrastructure,GBP,CASH_0002,FundsIn,01/12/2023,03/12/2023,46000000,1.3,Cash,MS,Investments,SC_USD_TPVI
TPV_Infrastructure,EUR,CASH_0003,FundsIn,01/12/2023,03/12/2023,16000000,1.2,Cash,MS,Investments,SC_EUR_TPVI
TPV_Infrastructure,AUD,CASH_0004,FundsIn,01/12/2023,03/12/2023,46000000,0.64,Cash,MS,Investments,SC_USD_TPVI
TPV_Infrastructure,CHF,CASH_0005,FundsIn,01/12/2023,03/12/2023,1000000,1.18,Cash,MS,Investments,SC_USD_TPVI
TPV_Infrastructure,JPY,CASH_0006,FundsIn,01/12/2023,03/12/2023,1000000,0.0067,Cash,MS,Investments,SC_USD_TPVI
TPV_InfrastructureEquities,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,60000000,1,Cash,MS,Investments,SC_USD_TPVIE
TPV_InfrastructureEquities,EUR,CASH_0002,FundsIn,01/12/2023,03/12/2023,45000000,1.3,Cash,MS,Investments,SC_USD_TPVIE
TPV_InfrastructureEquities,GBP,CASH_0003,FundsIn,01/12/2023,03/12/2023,4000000,1.2,Cash,MS,Investments,SC_USD_TPVIE
TPV_InfrastructureEquities,DKK,CASH_0004,FundsIn,01/12/2023,03/12/2023,8000000,0.64,Cash,MS,Investments,SC_USD_TPVIE
TPV_InfrastructureEquities,TWD,CASH_0005,FundsIn,01/12/2023,03/12/2023,4000000,1.18,Cash,MS,Investments,SC_USD_TPVIE
TPV_InfrastructureEquities,HKD,CASH_0006,FundsIn,01/12/2023,03/12/2023,17000000,0.0067,Cash,MS,Investments,SC_USD_TPVIE
TPV_InfrastructureEquities,CNY,CASH_0007,FundsIn,01/12/2023,03/12/2023,10000000,0.0067,Cash,MS,Investments,SC_USD_TPVIE
TPV_PrivateEquity,USD,CASH_0002,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPVPE
TPV_CreditOpportunities,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPCO
TPV_CreditOpportunities,USD,CASH_0002,FundsIn,01/12/2023,03/12/2023,60000000,1,Cash,MS,Investments,SC_USD_TPCO
TPV_CreditOpportunities,GBP,CASH_0003,FundsIn,01/12/2023,03/12/2023,40500000,1.46,Cash,MS,Investments,SC_USD_TPCO
TPV_CreditOpportunities,EUR,CASH_0004,FundsIn,01/12/2023,03/12/2023,20500000,1.14,Cash,MS,Investments,SC_USD_TPCO
TPV_GlobalMacro,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,70000000,1,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalMacro,GBP,CASH_0002,FundsIn,01/12/2023,03/12/2023,20000000,1.46,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalMacro,EUR,CASH_0003,FundsIn,01/12/2023,03/12/2023,20000000,1.14,Cash,MS,Investments,SC_EUR_TPVGFI
TPV_GlobalMacro,DKK,CASH_0004,FundsIn,01/12/2023,03/12/2023,5000000,0.15,Cash,MS,Investments,SC_USD_TPVGFI
TPV_MoneyMarket,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,10000000,1,Cash,MS,Investments,
TPV_MoneyMarket,GBP,CASH_0002,FundsIn,01/12/2023,03/12/2023,10000000,1.46,Cash,MS,Investments,
HF_BigTechLeveraged,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,7000000,1,Cash and Cash Equivalents,MS,Cash and Cash Equivalents,
